work_id,title,creator_ref,period_ref,icon_ref,status,support,dimensions,repository,source_book,source_chapter,source_text
work_546a2134,隋東禪寺壁画,鄭德文,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 隋東禪寺（鄭德文畫，在長安）
work_cb675235,隋惠日寺壁画,張善果,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 隋惠日寺（張善果畫，在江都）
work_5627a660,隋永福寺壁画,楊子華,Northern Qi,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 隋永福寺（楊子華畫，在長安）
work_a5fb1ef3,隋靈寶寺壁画,展子虔、鄭法士,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 隋靈寶寺（展子虔、鄭法士畫，在長安）
work_2a884a44,隋光明寺壁画,田僧亮、展子虔、鄭法士、楊契丹,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 隋光明寺（田僧亮，展子虔、鄭法士、楊契丹畫，在長安）
work_cdd22ad3,隋敬愛寺壁画,孫尚子,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 隋敬愛寺（孫尚子畫，在洛陽）
work_162e1b62,隋天女寺壁画,展子虔,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 隋天女寺（展子虔畫，在洛陽）
work_641555a8,隋雲花寺壁画,展子虔,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 隋雲花寺（展子虔畫，在洛陽）
work_eba23439,隋清禪寺壁画,陳善見,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 隋清禪寺（陳善見畫，在長安）
work_a8f4f442,隋光發寺壁画,董伯仁,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 隋光發寺（董伯仁畫，在洛陽）
work_74ddab2a,隋興善寺壁画,劉烏,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 隋興善寺（劉烏畫，在長安）
work_a5d54b88,隋皈依寺壁画,田僧亮,Northern Zhou,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 隋皈依寺（田僧亮畫，在長安）
work_3b97c4f4,隋淨域寺壁画,張僧繇、孫尚子,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 隋淨域寺（張僧繇畫，自江外移來，亦有孫尚子畫，在長安）
work_218004d9,隋恩覺寺壁画,袁子昂,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 隋恩覺寺（袁子昂畫，在洛陽）
work_113c3074,隋空觀寺壁画,袁子昂,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 隋空觀寺（袁子昂畫，在長安）
work_f4fb509b,隋隆法寺壁画,範長壽、張孝師,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 隋隆法寺（範長壽、張孝師畫，在長安）
work_03ca3fe2,隋寶剎寺壁画,鄭法士、楊契丹,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 隋寶剎寺（鄭法士、楊契丹畫，在長安）
