lit_id,target_ref,target_type,source_book,source_chapter,author_ref,quality_rank,quote,source_text,literature_ref,evaluation_type
lit_fac5cbc2,夷子蠻獸樣一卷,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右五卷，曹不興畫，二卷隋朝官本 。,右五卷，曹不興畫，二卷隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_b8367eb5,秦始皇東游圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右二卷，陸綏畫 。,右二卷，陸綏畫 。,《贞观公私画史》,Catalog/Authentication
lit_8a334de5,周盤龍像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右二卷，陸綏畫 。,右二卷，陸綏畫 。,《贞观公私画史》,Catalog/Authentication
lit_7b8af7bf,漁父圖,Work,《贞观公私画史》,第一卷画目,裴孝源,著录,《梁太清目》所有,漁父圖（《梁太清目》所有）,《梁太清目》,Recorded
lit_f7b5ecfe,孫倬像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右三卷，史藝畫 。,右三卷，史藝畫 。,《贞观公私画史》,Catalog/Authentication
lit_63d77865,漁父圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右三卷，史藝畫 。,右三卷，史藝畫 。,《贞观公私画史》,Catalog/Authentication
lit_f0d203f5,王羲之像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右三卷，史藝畫 。,右三卷，史藝畫 。,《贞观公私画史》,Catalog/Authentication
lit_cf7e1e9b,孔雀鸚鵡圖,Work,《贞观公私画史》,第一卷画目,裴孝源,著录,上一卷《太清目》所有,孔雀鸚鵡圖（上一卷《太清目》所有）,《贞观公私画史》,Recorded
lit_9cf41824,虎豹圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右二卷，陶景真畫，隋朝官本 。,右二卷，陶景真畫，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_2dbc4d08,孔雀鸚鵡圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右二卷，陶景真畫，隋朝官本 。,右二卷，陶景真畫，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_1f626ad6,穎川先賢圖,Work,《贞观公私画史》,第一卷画目,裴孝源,著录,得於楊素家,穎川先賢圖（得於楊素家）,《贞观公私画史》,Comparison
lit_b19dc058,問禮圖永嘉屋邑圖,Work,《贞观公私画史》,第一卷画目,裴孝源,著录,已上皆《梁太清目》中所有,問禮圖永嘉屋邑圖（已上皆《梁太清目》中所有）,《梁太清目》,Recorded
lit_3e6cf8db,穎川先賢圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右四卷，宗炳畫，隋朝官本 。,右四卷，宗炳畫，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_f2ef51ad,惠持師像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右四卷，宗炳畫，隋朝官本 。,右四卷，宗炳畫，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_da17d5e2,問禮圖永嘉屋邑圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右四卷，宗炳畫，隋朝官本 。,右四卷，宗炳畫，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_577a6aa0,殷洪像,Work,《贞观公私画史》,第一卷画目,裴孝源,著录,《太清目》所有,殷洪像（《太清目》所有）,《贞观公私画史》,Recorded
lit_e71843e8,殷洪像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右五卷，月長生畫 。,右五卷，月長生畫 。,《贞观公私画史》,Catalog/Authentication
